orders,talabat_week,order_year,order_month,order_day
819,3,2021,9,1
856,4,2021,9,2
837,5,2021,9,3
845,6,2021,9,4
847,0,2021,9,5
815,1,2021,9,6
771,2,2021,9,7
841,3,2021,9,8
859,4,2021,9,9
871,5,2021,9,10
740,6,2021,9,11
792,0,2021,9,12
878,1,2021,9,13
850,2,2021,9,14
790,3,2021,9,15
837,4,2021,9,16
856,5,2021,9,17
845,6,2021,9,18
810,0,2021,9,19
812,1,2021,9,20
820,2,2021,9,21
873,3,2021,9,22
890,4,2021,9,23
850,5,2021,9,24
815,6,2021,9,25
807,0,2021,9,26
873,1,2021,9,27
900,2,2021,9,28
790,3,2021,9,29
905,4,2021,9,30
837,5,2021,10,1
790,6,2021,10,2
777,0,2021,10,3
819,1,2021,10,4
869,2,2021,10,5
824,3,2021,10,6
792,4,2021,10,7
835,5,2021,10,8
823,6,2021,10,9
786,0,2021,10,10
859,1,2021,10,11
870,2,2021,10,12
765,3,2021,10,13
811,4,2021,10,14
848,5,2021,10,15
822,6,2021,10,16
796,0,2021,10,17
775,1,2021,10,18
817,2,2021,10,19
806,3,2021,10,20
872,4,2021,10,21
777,5,2021,10,22
820,6,2021,10,23
838,0,2021,10,24
790,1,2021,10,25
880,2,2021,10,26
841,3,2021,10,27
853,4,2021,10,28
895,5,2021,10,29
843,6,2021,10,30
857,0,2021,10,31
765,1,2021,11,1
780,2,2021,11,2
818,3,2021,11,3
809,4,2021,11,4
937,5,2021,11,5
789,6,2021,11,6
809,0,2021,11,7
750,1,2021,11,8
830,2,2021,11,9
747,3,2021,11,10
779,4,2021,11,11
887,5,2021,11,12
815,6,2021,11,13
736,0,2021,11,14
734,1,2021,11,15
773,2,2021,11,16
784,3,2021,11,17
874,4,2021,11,18
900,5,2021,11,19
798,6,2021,11,20
710,0,2021,11,21
701,1,2021,11,22
792,2,2021,11,23
825,3,2021,11,24
828,4,2021,11,25
828,5,2021,11,26
764,6,2021,11,27
779,0,2021,11,28
719,1,2021,11,29
795,2,2021,11,30
764,3,2021,12,1
800,4,2021,12,2
785,5,2021,12,3
752,6,2021,12,4
746,0,2021,12,5
728,1,2021,12,6
757,2,2021,12,7
839,3,2021,12,8
761,4,2021,12,9
824,5,2021,12,10
736,6,2021,12,11
670,0,2021,12,12
753,1,2021,12,13
796,2,2021,12,14
785,3,2021,12,15
782,4,2021,12,16
826,5,2021,12,17
789,6,2021,12,18
701,0,2021,12,19
739,1,2021,12,20
739,2,2021,12,21
788,3,2021,12,22
807,4,2021,12,23
840,5,2021,12,24
789,6,2021,12,25
794,0,2021,12,26
769,1,2021,12,27
770,2,2021,12,28
840,3,2021,12,29
780,4,2021,12,30
822,5,2021,12,31
769,6,2022,1,1
793,0,2022,1,2
