order_date,orders
2021-01-09,819
2021-01-10,837
2021-01-11,765
2021-01-12,764
2021-02-09,856
2021-02-10,790
2021-02-11,780
2021-02-12,800
2021-03-09,837
2021-03-10,777
2021-03-11,818
2021-03-12,785
2021-04-09,845
2021-04-10,819
2021-04-11,809
2021-04-12,752
2021-05-09,847
2021-05-10,869
2021-05-11,937
2021-05-12,746
2021-06-09,815
2021-06-10,824
2021-06-11,789
2021-06-12,728
2021-07-09,771
2021-07-10,792
2021-07-11,809
2021-07-12,757
2021-08-09,841
2021-08-10,835
2021-08-11,750
2021-08-12,839
2021-09-09,859
2021-09-10,823
2021-09-11,830
2021-09-12,761
2021-09-13,878
2021-09-14,850
2021-09-15,790
2021-09-16,837
2021-09-17,856
2021-09-18,845
2021-09-19,810
2021-09-20,812
2021-09-21,820
2021-09-22,873
2021-09-23,890
2021-09-24,850
2021-09-25,815
2021-09-26,807
2021-09-27,873
2021-09-28,900
2021-09-29,790
2021-09-30,905
2021-10-09,871
2021-10-10,786
2021-10-11,747
2021-10-12,824
2021-10-13,765
2021-10-14,811
2021-10-15,848
2021-10-16,822
2021-10-17,796
2021-10-18,775
2021-10-19,817
2021-10-20,806
2021-10-21,872
2021-10-22,777
2021-10-23,820
2021-10-24,838
2021-10-25,790
2021-10-26,880
2021-10-27,841
2021-10-28,853
2021-10-29,895
2021-10-30,843
2021-10-31,857
2021-11-09,740
2021-11-10,859
2021-11-11,779
2021-11-12,736
2021-11-13,815
2021-11-14,736
2021-11-15,734
2021-11-16,773
2021-11-17,784
2021-11-18,874
2021-11-19,900
2021-11-20,798
2021-11-21,710
2021-11-22,701
2021-11-23,792
2021-11-24,825
2021-11-25,828
2021-11-26,828
2021-11-27,764
2021-11-28,779
2021-11-29,719
2021-11-30,795
2021-12-09,792
2021-12-10,870
2021-12-11,887
2021-12-12,670
2021-12-13,753
2021-12-14,796
2021-12-15,785
2021-12-16,782
2021-12-17,826
2021-12-18,789
2021-12-19,701
2021-12-20,739
2021-12-21,739
2021-12-22,788
2021-12-23,807
2021-12-24,840
2021-12-25,789
2021-12-26,794
2021-12-27,769
2021-12-28,770
2021-12-29,840
2021-12-30,780
2021-12-31,822
2022-01-01,769
2022-02-01,793
